id,race
1,2013-01-16
2,2013-01-23
3,2013-01-30
4,2013-02-06
5,2013-02-13
6,2013-02-20
7,2013-02-27
8,2013-03-06
9,2013-03-13
10,2013-03-20
11,2013-03-27
12,2013-04-03
13,2013-04-10
14,2013-04-17
15,2013-04-24
16,2013-05-01
17,2013-05-08
18,2013-05-15
19,2013-05-22
20,2013-05-29
21,2013-06-05
22,2013-06-12
23,2013-06-26
24,2013-07-10
25,2013-07-17
26,2013-07-24
27,2013-07-31
28,2013-08-07
29,2013-08-14
30,2013-08-21
31,2013-08-28
32,2013-09-04
33,2013-09-11
34,2013-09-18
35,2013-09-25
36,2013-10-02
37,2013-10-09
38,2013-10-16
39,2013-10-23
40,2013-11-06
41,2013-11-13
42,2013-11-20
43,2013-11-27
44,2013-12-04
45,2013-12-11
46,2013-12-18
47,2013-12-25
48,2014-01-08
49,2014-01-15
50,2014-01-23
51,2014-01-29
52,2014-02-05
53,2014-02-12
54,2014-02-19
55,2014-02-26
56,2014-03-05
57,2014-03-12
58,2014-03-19
59,2014-03-26
60,2014-04-02
61,2014-04-09
62,2014-04-16
63,2014-04-23
64,2014-04-30
65,2014-05-07
66,2014-05-14
67,2014-05-21
68,2014-05-28
69,2014-06-04
70,2014-06-11
71,2014-06-18
72,2014-06-25
73,2014-07-02
74,2014-07-09
75,2014-07-16
76,2014-07-23
77,2014-07-30
78,2014-08-06
79,2014-08-13
80,2014-08-20
81,2014-08-27
82,2014-09-03
83,2014-09-10
84,2014-09-17
85,2014-09-24
86,2014-10-01
87,2014-10-08
88,2014-10-15
89,2014-10-22
90,2014-10-29
91,2014-11-05
92,2014-11-12
93,2014-11-19
94,2014-12-03
95,2014-12-10
96,2014-12-17
97,2015-01-07
98,2015-01-14
99,2015-01-21
100,2015-01-28
101,2015-02-04
102,2015-02-11
103,2015-02-18
104,2015-02-25
105,2015-03-04
106,2015-03-11
107,2015-03-18
108,2015-03-25
109,2015-04-01
110,2015-04-08
111,2015-04-15
112,2015-04-22
113,2015-04-29
114,2015-05-06
115,2015-05-13
116,2015-05-20
117,2015-05-27
118,2015-06-03
119,2015-06-10
120,2015-06-17
121,2015-06-24
122,2015-07-01
123,2015-07-08
124,2015-07-15
125,2015-07-22
126,2015-07-29
127,2015-08-05
128,2015-08-12
129,2015-08-19
130,2015-08-26
131,2015-09-03
132,2015-09-09
133,2015-09-16
134,2015-09-23
135,2015-09-30
136,2015-10-07
137,2015-10-15
138,2015-10-21
139,2015-10-28
140,2015-11-04
141,2015-11-11
142,2015-11-18
143,2015-11-25
144,2015-12-02
145,2015-12-09
146,2015-12-16
147,2015-12-23
148,2015-12-30
149,2016-01-06
150,2016-01-13
151,2016-01-20
152,2016-01-27
153,2016-02-03
154,2016-02-10
155,2016-02-17
156,2016-02-24
157,2016-03-02
158,2016-03-09
159,2016-03-16
160,2016-03-23
161,2016-03-30
162,2016-04-06
163,2016-04-13
164,2016-04-20
165,2016-04-27
166,2016-05-04
167,2016-05-11
168,2016-05-18
