place,bib,racer_id,group,time,race_id
1,1,1,ALL,00:22:59.5,60
2,4,90,ALL,00:23:36.4,60
3,27,27,ALL,00:33:10.6,60
4,8,3,ALL,00:34:02.7,60
5,11,6,ALL,00:35:04.2,60
6,22,23,ALL,00:35:05.2,60
7,6,357,ALL,00:37:03.5,60
1,11,2,ALL,00:28:6.4,59
2,1,1,ALL,00:28:07.2,59
3,13,3,ALL,00:33:18.7,59
4,22,27,ALL,00:33:19.5,59
5,27,6,ALL,00:35:56.3,59
6,6,10,ALL,00:36:19.4,59
7,4,80,ALL,00:36:20.4,59
1,22,347,ALL,00:27:15.4,57
2,1,1,ALL,00:27:16.4,57
3,11,2,ALL,00:35:29.5,57
4,4,12,ALL,00:35:31.5,57
5,24,23,ALL,00:35:37.6,57
6,27,27,ALL,00:37:27.4,57
7,6,250,ALL,00:39:21.8,57
8,3,51,ALL,00:44:30.3,57
9,9,6,ALL,00:44:30.4,57
1,1,1,ALL,00:24:45.5,58
2,11,2,ALL,00:24:46.9,58
3,8,13,ALL,00:24:55.9,58
4,27,30,ALL,00:25:35.5,58
5,24,4,Denmark,00:27:00.5,58
6,13,14,ALL,00:31:35.6,58
7,4,118,ALL,00:32:23.4,58
8,9,6,ALL,00:38:22.3,58
9,22,247,ALL,00:38:39.4,58
10,44,260,ALL,00:38:41.2,58
1,1,1,ALL,00:23:57.3,56
2,4,13,ALL,00:23:58.3,56
3,11,2,ALL,00:25:07.6,56
4,13,4,Denmark,00:27:30.9,56
5,26,10,ALL,00:34:36.6,56
6,22,3,ALL,00:34:37.5,56
1,1,1,ALL,00:27:20.1,55
2,11,2,ALL,00:27:22.0,55
3,6,6,ALL,00:36:51.3,55
4,13,24,ALL,00:36:53.6,55
1,1,1,ALL,00:23:32.8,54
2,4,13,ALL,00:23:33.9,54
3,11,2,ALL,00:25:37.0,54
4,13,4,Denmark,00:28:10.8,54
5,3,24,ALL,00:29:46.1,54
6,22,14,ALL,00:31:59.5,54
7,6,6,ALL,00:38:28.0,54
1,4,13,ALL,00:23:38.2,53
2,6,185,ALL,00:24:02.0,53
3,1,1,ALL,00:24:03.4,53
4,11,2,ALL,00:25:48.4,53
5,9,10,ALL,00:33:51.3,53
6,37,3,ALL,00:35:22.9,53
1,1,1,ALL,00:22:57.8,52
2,4,13,ALL,00:23:39.4,52
3,15,90,ALL,00:28:37.5,52
4,22,4,Denmark,00:29:57.5,52
5,27,116,ALL,00:30:24.3,52
6,12,338,ALL,00:33:52.7,52
7,13,24,ALL,00:33:54.2,52
8,6,14,ALL,00:33:55.4,52
9,37,3,ALL,00:37:26.1,52
10,9,6,ALL,00:38:56.4,52
